Topic,Keep,Reason,Question
作業系統 - 虛擬化(Virtualization)：Hypervisor,True,題目敘述清晰，針對虛擬化架構中的核心概念（Type 1 vs Type 2）進行了全面的比較。選項設計包含了效能差異、代表性軟體分類、運作層級以及硬體輔助技術的應用，干擾項（如選項 D 關於 VT-x 的誤解）設計具備良好的鑑別度。標準答案唯一且正確，解析邏輯清晰並準確修正了錯誤選項的觀念，是一道高品質的試題。,"### 作業系統考試題目：虛擬化架構 (Virtualization Architecture)

**題目：**
關於 Type 1 (Bare-metal, 裸機型) 與 Type 2 (Hosted, 寄居型) Hypervisor 的架構特性與應用，下列敘述何者**正確**？

(A) Type 2 Hypervisor 因為可以直接利用 Host OS 的驅動程式，不需要自行管理硬體，因此其 I/O 效能通常優於 Type 1 Hypervisor。
(B) VMware Workstation 與 Oracle VirtualBox 是 Type 1 Hypervisor 的典型代表軟體，主要用於企業級資料中心的伺服器虛擬化。
(C) Type 1 Hypervisor 直接安裝並執行在實體硬體之上，取代了通用作業系統（Host OS）的角色來直接管理硬體資源與虛擬機排程，因此又被稱為 Native Hypervisor。
(D) Type 2 Hypervisor 作為一個標準應用程式運作於 Host OS 之上，受限於權限層級，因此無法利用硬體輔助虛擬化技術（如 Intel VT-x 或 AMD-V）來加速虛擬機的執行。

---

**正確答案：(C)**

---

### 解析 (Explanation)

本題旨在測試對虛擬化架構層級、效能瓶頸與軟體分類的理解。

**1. 正確選項分析：**

*   **選項 (C) 正確：**
    **Type 1 (Bare-metal)** 直接運行在硬體（Metal）上，沒有底層的 Host OS。Hypervisor 本身就是一個專用的 Kernel，直接負責 CPU 排程、記憶體管理以及 VM 的隔離。這種架構減少了中間層，效能最高，常見於 **VMware ESXi、Microsoft Hyper-V、Xen**。

**2. 錯誤選項分析：**

*   **選項 (A) 錯誤：**
    敘述顛倒。**Type 1** 效能較好，因為它直接存取硬體。**Type 2** 必須在其下層的 Host OS（如 Windows 或 Linux）之上運行，虛擬機的 I/O 請求需要經過 Host OS 的轉換與排程，產生了額外的開銷（Overhead），因此 I/O 效能通常不如 Type 1。

*   **選項 (B) 錯誤：**
    VMware Workstation、Oracle VirtualBox 以及 Parallels Desktop 都是安裝在現有作業系統上的應用程式，屬於 **Type 2 (Hosted)**。企業級資料中心為了追求最大效能與穩定性，通常使用 Type 1。

*   **選項 (D) 錯誤：**
    這是對現代 Type 2 架構的誤解。雖然 Type 2 運作在 Host OS 之上，但現代的主流 Type 2 Hypervisor（如 VirtualBox, VMware Workstation）都會安裝**核心模式驅動程式 (Kernel-mode drivers)** 或核心擴充模組 (Kernel Extensions)。這讓它們能夠進入高權限模式 (Ring 0) 並充分利用硬體輔助虛擬化技術（如 Intel VT-x/AMD-V）來執行特權指令與加速 CPU 運算，並非無法利用該技術。"
"程式設計 - 物件導向(Object-Oriented Programming, OOP)",True,題目敘述清晰，程式碼範例正確展示了具備「共變回傳類型 (Covariant Return Type)」的方法覆寫情境。選項設計標準且具鑑別度，正確答案唯一。解析部分對各選項的定義解釋準確，釐清了覆寫（語法定義）與動態繫結（執行機制）的區別，無誤導之虞。,"### 題目

請參考下列物件導向程式碼結構（以類 Java/C# 語法為例）：

```java
class Animal {
    public Animal getInfo() {
        return new Animal();
    }
}

class Dog extends Animal {
    // 定義了一個與父類別名稱、參數列皆相同的方法
    // 且回傳類型 Dog 為 Animal 的子型態 (相容)
    @Override
    public Dog getInfo() { 
        return new Dog();
    }
}
```

在上述程式碼中，子類別 `Dog` 重新定義了父類別 `Animal` 中已存在的 `getInfo` 方法，且兩者具有相同的**方法簽章 (Method Signature)**。請問此種「改變父類別方法行為」的機制稱為什麼？

(A) 方法多載 (Method Overloading)
(B) 方法覆寫 (Method Overriding)
(C) 成員遮蔽 (Member Shadowing)
(D) 動態繫結 (Dynamic Binding)

---

### 正確答案

**(B) 方法覆寫 (Method Overriding)**

### 解析

**1. 正確選項分析：**
*   **(B) 方法覆寫 (Method Overriding)**：指子類別重新定義父類別中已有的方法。
    *   **特徵**：方法名稱、參數列（即方法簽章）必須完全相同。
    *   **回傳類型**：必須相同或為**共變回傳類型 (Covariant Return Type)**（即子類別方法的回傳型態可以是父類別回傳型態的子型態，如本題的 `Dog` 是 `Animal` 的子類別）。
    *   **目的**：讓子類別能提供專屬的實作邏輯，是實現多型 (Polymorphism) 的基礎。

**2. 錯誤選項分析：**
*   **(A) 方法多載 (Method Overloading)**：是指在「同一個類別」中，方法名稱相同但**參數列不同**（個數或型態不同）的機制。本題參數列完全相同，故不符合。
*   **(C) 成員遮蔽 (Member Shadowing)**：通常指在特定範疇（Scope）內，宣告了與外部範疇同名的變數，導致外部變數暫時無法被直接存取；或指子類別定義了與父類別同名的「屬性 (Field)」或「靜態方法 (Static Method)」，而非實體方法的行為改變。
*   **(D) 動態繫結 (Dynamic Binding)**：這是程式**執行期間 (Runtime)** 決定要呼叫哪一個實作版本的「機制」。雖然「覆寫」是為了達成動態繫結的手段，但題目問的是「子類別定義方法」這個**撰寫行為**本身，故「覆寫」為更精確的定義名詞。"
編譯器 - 最佳化(Compiler Optimizations),True,題目敘述清晰且技術細節嚴謹，特別是題目中包含了關於指標別名（Pointer Aliasing）的假設，確保了該最佳化技術在 C 語言語意下的合法性。選項皆為標準的編譯器最佳化術語，干擾項設計合理且無歧義。解析準確地解釋了正確選項的運作機制，並清楚說明了其他選項為何不適用。,"### 題目

在編譯器的程式碼最佳化階段，請考慮以下 C 語言程式碼片段。假設編譯器已確認指標 `a` 與變數 `y`、`z` 之間不存在記憶體別名（No Pointer Aliasing，即 `a` 所指的記憶體位置不會覆蓋到 `y` 或 `z`）：

```c
void compute_array_values(int N, int y, int z, int *restrict a) {
    for (int i = 0; i < N; i++) {
        int x = y + z;
        a[i] = i * x;
    }
}
```

編譯器在分析上述迴圈時，偵測到表達式 `y + z` 的計算結果在每次迭代中皆保持不變。為了減少執行期間的冗餘運算，編譯器將該行計算移至 `for` 迴圈之外執行。請問此最佳化技術稱為什麼？

**選項：**

(A) 迴圈展開 (Loop Unrolling)
(B) 迴圈不變量外提 (Loop Invariant Code Motion)
(C) 常數摺疊 (Constant Folding)
(D) 死碼刪除 (Dead Code Elimination)

---

### 正確答案

**(B)**

### 解析

*   **(B) 迴圈不變量外提 (Loop Invariant Code Motion)**：這是正確答案。
    在此程式碼中，變數 `y` 和 `z` 在迴圈內部從未被修改（且題目假設無指標別名問題），因此表達式 `y + z` 的值在每次迭代中都是相同的。編譯器會將此計算移至迴圈進入點之前（Pre-header），使其僅需計算一次，從而減少 CPU 的運算週期並提升效能。

*   **(A) 迴圈展開 (Loop Unrolling)**：
    此技術是透過複製迴圈本體（Loop Body）的程式碼來減少迴圈控制（比較與跳轉指令）的開銷。例如將 `N` 次迭代改為 `N/4` 次，每次處理 4 個元素。這與題目所述「將特定運算移出迴圈」的行為不同。

*   **(C) 常數摺疊 (Constant Folding)**：
    此技術是指編譯器在「編譯時期」就能計算出常數表達式的結果（例如將程式碼中的 `3 + 5` 直接替換為 `8`）。雖然 `y` 和 `z` 在迴圈內不變，但在編譯時期它們的值是未知的（取決於函式呼叫時傳入的參數），因此無法在編譯時摺疊為單一常數。

*   **(D) 死碼刪除 (Dead Code Elimination)**：
    此技術用於移除那些永遠不會執行，或是執行結果對程式行為沒有影響的程式碼。題目中的 `x` 是計算陣列 `a[i]` 內容的必要數值，並非無用的程式碼，故不適用此選項。"
雲端 - Kubernetes 基礎,True,題目清楚描述了 Kubernetes Pod 處於 Pending 狀態且未分派節點（nodeName 為空）的特定情境，並排除了資源不足的變因。這邏輯準確地指向了 kube-scheduler 的職責（負責調度與指派節點）。選項設計合理，涵蓋了主要的 Control Plane 元件，答案唯一且解析正確，能夠有效測驗考生對於 Kubernetes 元件職責與故障排除的理解。,"### 題目：Kubernetes 控制平面元件與故障排除

**題目敘述：**

當使用者在 Kubernetes 叢集中建立了一個 Pod，發現該 Pod 長時間處於 `Pending` 狀態，且查看詳細資訊後發現其未被分派到任何節點（`nodeName` 為空）。假設叢集中 Worker Node 的運算資源皆充足，此時最應優先檢查控制平面（Control Plane）中哪一個元件的運作狀態？

(A) kube-apiserver
(B) kube-controller-manager
(C) kube-scheduler
(D) etcd

---

**正確答案：(C)**

**解析：**

本題測驗考生對於 Pod 建立流程與各元件職責的理解，特別是針對 `Pending` 狀態的故障排除能力。

*   **(C) kube-scheduler（正確）**
    Scheduler（排程器）的主要職責是監看新建立但尚未指派節點（Unscheduled）的 Pod。它會根據過濾（Filtering）與評分（Scoring）機制，考量資源需求、親和性（Affinity）與硬體限制等策略，為 Pod 挑選最合適的 Worker Node。若 Pod 長時間處於 `Pending` 且未分派節點，通常是 Scheduler 未正常運作或找不到符合條件的節點。

*   **(A) kube-apiserver**
    這是 Kubernetes 控制平面的前端介面，負責接收所有 REST 請求、驗證身份並更新 etcd 中的資料。若 kube-apiserver 故障，使用者將無法對叢集下達任何指令（如 `kubectl` 會連線失敗），而不僅僅是 Pod 處於 Pending 狀態。

*   **(B) kube-controller-manager**
    此元件負責運行叢集中的各種控制器（Controller），例如 Node Controller（節點狀態）、Replication Controller（副本數量維持）等。它的職責是確保叢集的「實際狀態」收斂至「期望狀態」，但不負責單一 Pod 的具體節點選擇與分派。

*   **(D) etcd**
    這是 Kubernetes 的後端儲存系統，為強一致性的 Key-Value 資料庫，負責儲存叢集所有的配置與狀態資料。若 etcd 故障，整個 API Server 將無法讀寫資料，導致叢集完全無法運作。"
資料庫 - 時序資料庫(Time-Series DB),True,題目情境清晰（IoT 應用場景），針對 TSDB 的特性描述準確。選項設計良好，涵蓋了 ACID 交易（RDBMS 特性）、CRUD 修改（一般資料庫特性）與資料生命週期管理（TSDB 特性）的對比，具備鑑別度。解析內容詳盡且正確，能清楚說明各選項的對錯原因。,"### 題目

某開發團隊正在建置一套物聯網 (IoT) 監控系統，需要蒐集工廠內數萬個感測器每秒傳回的溫度、濕度與壓力數據。在評估資料庫選型時，團隊考慮使用時序資料庫 (Time-Series Database, TSDB)。關於 TSDB 的特性與適用情境，下列敘述何者最為**正確**？

(A) TSDB 的核心設計是為了滿足強一致性的交易處理 (ACID)，因此最適合用於銀行轉帳或電商庫存扣減系統。
(B) TSDB 的資料寫入模式以「大量且高頻率的追加寫入 (Append-only)」為主，並針對特定時間範圍 (Time-range) 的查詢效能進行了極大優化。
(C) TSDB 的儲存引擎非常擅長處理對歷史數據的隨機修改 (Random Updates)，適合用於需要頻繁更正過去紀錄的會員資料管理系統。
(D) 為了確保原始數據的完整性，TSDB 通常強制永久保存所有資料，不支援過期自動刪除 (Retention Policy) 或數據降取樣 (Downsampling) 的功能。

---

### 正確答案：(B)

### 解析

*   **(A) 錯誤**：強一致性交易處理 (ACID) 是**關聯式資料庫 (RDBMS)** 的強項。TSDB 的設計是為了處理高吞吐量的數據寫入與分析，通常遵循 BASE 模型或最終一致性，並不適合處理複雜的金融交易事務。
*   **(B) 正確**：時序資料（如 IoT 感測器數據、伺服器監控指標、股市行情）的特性是隨時間不斷產生且不常回頭修改。因此，TSDB 針對**高併發寫入 (Write)**、**追加模式 (Append-only)** 以及**基於時間區間的讀取 (Read)** 做了底層結構上的優化。
*   **(C) 錯誤**：TSDB 的儲存結構（如 LSM Tree 變體）通常針對寫入優化，**對歷史數據的「隨機更新」或「刪除」效率極低**。它不適合用於像 CRM 或 ERP 這種需要頻繁修改舊資料（CRUD）的應用場景。
*   **(D) 錯誤**：由於時序數據量極大，TSDB 的核心功能之一正是**生命週期管理**。它普遍支援「保留策略 (Retention Policy)」以自動清理過期數據，並支援「降取樣 (Downsampling)」，將高頻數據（如每秒一筆）匯總為低頻數據（如每小時平均值）以節省儲存空間。

**補充 - 常見 TSDB 工具：**
業界主流的時序資料庫包括 **InfluxDB**、**Prometheus**（常用於監控）、**TimescaleDB**（基於 PostgreSQL）、以及 **OpenTSDB** 等。"
"演算法 - 動態規劃(Dynamic Programming, DP)",True,題目清楚明確，準確描述了動態規劃 (Dynamic Programming) 的兩個核心特性：最佳子結構與重疊子問題。選項設計合理，有效區分了動態規劃與貪婪演算法（貪婪選擇性質）、分治法（獨立子問題）的差異。解析內容正確且完整，適合保留。,"### 題目：
適用於**動態規劃 (Dynamic Programming, DP)** 解決的問題，通常必須具備哪兩個關鍵特性？

### 選項：
(A) 貪婪選擇性質 (Greedy Choice Property) 與 獨立子問題 (Independent Subproblems)
(B) 最佳子結構 (Optimal Substructure) 與 重疊子問題 (Overlapping Subproblems)
(C) 深度優先搜尋 (Depth-First Search) 與 隨機化 (Randomization)
(D) 分治法 (Divide and Conquer) 與 獨立子問題 (Independent Subproblems)

---

### 答案：(B)

### 解析：

動態規劃演算法的核心在於將複雜問題分解，並透過儲存中間結果來提升效率，這要求問題必須具備以下兩個關鍵特性：

1.  **最佳子結構 (Optimal Substructure)：**
    問題的「全域最佳解」可以由其「子問題的最佳解」組合而成。這意味著我們可以建立**遞迴關係式 (Recurrence Relation)**，透過解決較小的子問題來推導出原問題的答案。

2.  **重疊子問題 (Overlapping Subproblems)：**
    在遞迴計算的過程中，相同的子問題會被反覆多次計算。DP 正是利用此特性，透過**記憶法 (Memoization)** 或 **列表法 (Tabulation)** 將算過的結果儲存起來，避免重複運算以降低時間複雜度。

**選項分析：**
*   **(A)** 貪婪選擇性質是「貪婪演算法」的特徵；獨立子問題則屬於分治法。
*   **(C)** 深度優先搜尋與隨機化屬於特定的演算法策略或技巧，並非 DP 問題的結構特性。
*   **(D)** 分治法 (Divide and Conquer) 雖然也具備最佳子結構，但其處理的是**獨立子問題 (Independent Subproblems)**，即子問題之間互不相干（如 Merge Sort），這與 DP 處理「重疊」子問題的特性恰好相反。"
資料結構 - Skip List,True,題目敘述清晰，準確測驗了跳躍表 (Skip List) 的核心特性。選項設計合理，錯誤選項 (C) 成功區分了「機率性平衡」與傳統平衡樹的「嚴格結構平衡」之差異，答案唯一且解析正確。,"**題目：**

關於資料結構 **跳躍表 (Skip List)** 的特性與運作，下列敘述何者**錯誤**？

(A) 跳躍表屬於一種機率性 (Probabilistic) 的資料結構，其搜尋 (Search)、插入 (Insert) 與刪除 (Delete) 操作的平均時間複雜度皆為 $O(\log n)$。
(B) 跳躍表的空間複雜度在期望值上為 $O(n)$，這是指包含資料本身以及為了建立多層索引所消耗的額外指針 (Pointers) 的總空間。
(C) 為了確保查詢效率，跳躍表在插入新節點後，必須重新計算並調整相鄰節點的層數索引，以維持結構的嚴格平衡，避免搜尋路徑過長。
(D) 跳躍表的效率高度依賴隨機性，若隨機層數生成策略失效（例如所有節點層數皆為 1），跳躍表將退化為一般的單向連結串列 (Singly Linked List)，此時最差情況的搜尋時間複雜度為 $O(n)$。

---

**答案：** (C)

**解析：**

*   **(A) 正確**：跳躍表利用多層索引結構來模擬二分搜尋的效果，雖然不保證最差情況，但在一般情況下，其平均運作效率媲美平衡二元搜尋樹，各項主要操作皆為 $O(\log n)$。
*   **(B) 正確**：跳躍表以空間換取時間。節點的高度由機率決定，期望上第 $i$ 層的節點數是第 $i-1$ 層的 $p$ 倍（通常 $p=0.5$）。若 $p=0.5$，則額外指標的總數收斂於 $2n$，因此儘管使用了多層指標，整體空間複雜度仍為 $O(n)$。
*   **(C) 錯誤**：這段敘述混淆了跳躍表與確定性平衡樹（如 B-Tree 或 2-3 Tree）的概念。跳躍表**不需要**根據相鄰節點的狀態來重新計算或嚴格調整結構平衡。它是透過**隨機決策 (Coin Flip / Randomization)** 獨立決定新節點的高度 (Level)。這種機制在「統計上」能維持平衡，而非透過確定性的結構調整。
*   **(D) 正確**：這是跳躍表的潛在風險。若隨機函數運氣極差（始終不產生高層索引），所有節點都只存在於最底層，物理結構上就等同於一個普通的單向連結串列，導致無法進行跳躍搜尋，時間複雜度退化至 $O(n)$。"
資料結構 - LRU Cache,True,題目敘述清楚，明確定義了 Cache 容量、操作邏輯以及選項的排列順序（MRU -> LRU）。題目的核心考點在於 `get` 操作會更新 Key 的活躍度，進而影響淘汰順序，解析步驟詳細且正確地解釋了這一點。選項設計合理，包含了常見的誤區（如忽略 get 操作的影響），答案唯一且正確。,"### 題目：資料結構 - LRU Cache (Least Recently Used)

**背景描述：**
假設有一個容量 (Capacity) 為 **3** 的 LRU Cache，此 Cache 僅儲存鍵值 (Key)。
當 Cache 已滿且需要插入新 Key 時，會優先移除「最久未使用」的項目。

**操作序列：**
請依序追蹤下列操作：
1. `put('A')`
2. `put('B')`
3. `put('C')`
4. `get('A')`
5. `put('D')`
6. `put('E')`

**問題：**
請問在執行完上述所有操作後，Cache 中**保留的 Key** 為何？
（選項排列順序：由左至右代表 **最近剛被使用 (MRU) → 最久未使用 (LRU)**）

**選項：**
(A) `(MRU) E, D, C (LRU)`
(B) `(MRU) E, D, A (LRU)`
(C) `(MRU) E, D, B (LRU)`
(D) `(MRU) E, C, A (LRU)`

---

### 正確答案：(B)

---

### 解析：

**1. 核心觀念**
LRU (Least Recently Used) 的核心邏輯是：當 Cache 容量滿了需要加入新資料時，會移除「最久沒被使用」的資料。
任何 `get` (讀取) 或 `put` (寫入) 操作，都會將該 Key 標記為「最近剛被使用」(Most Recently Used, MRU)，並移至佇列的最前端。

**2. 步驟詳細追蹤**
（左邊為最近使用 MRU，右邊為最久未使用 LRU）

1.  **`put('A')`**
    *   Cache: `[A]`
2.  **`put('B')`**
    *   Cache: `[B, A]`
3.  **`put('C')`**
    *   Cache: `[C, B, A]`
    *   狀態：此時 Cache 容量 (3) 已滿。目前 `A` 是最久未使用的項目。
4.  **`get('A')`**
    *   動作：Key `'A'` 被讀取，因此狀態更新，`A` 移至最前端（變成 MRU）。
    *   Cache: `[A, C, B]`
    *   **注意**：此步驟改變了淘汰順序，`B` 變成了最久未使用的項目。
5.  **`put('D')`**
    *   動作：Cache 已滿，需移除最久未使用的項目（最右邊的 `B`）。將 `'D'` 加入最前端。
    *   Cache: `[D, A, C]`
6.  **`put('E')`**
    *   動作：Cache 已滿，需移除最久未使用的項目（最右邊的 `C`）。將 `'E'` 加入最前端。
    *   Cache: `[E, D, A]`

因此，最終 Cache 內的資料順序（MRU → LRU）為 **E, D, A**。

**3. 選項分析**
*   **(A) E, D, C**：錯誤。這是在第 4 步 `get('A')` 時，**忘記將 A 更新至最前端**才會得到的結果（若沒更新，A 會在第 5 步被淘汰，留下 C）。
*   **(B) E, D, A**：正確。
*   **(C) E, D, B**：錯誤。這是誤以為 `get('A')` 沒有改變淘汰順序，或者是移除了中間的項目而非最尾端的項目。
*   **(D) E, C, A**：錯誤。這是在處理 `put('D')` 時發生了替換錯誤。"
分散式系統 - 時鐘與排序(Clock)：Lamport / Vector Clock,True,題目觀念清晰，選項設計涵蓋了 Lamport Clock 與 Vector Clock 的核心差異（因果推斷方向性、並行偵測能力、空間複雜度、全序應用）。正確選項 (B) 描述準確，誘答選項 (A)、(C)、(D) 均針對常見迷思（如 Lamport Clock 的逆向推導無效性、無法偵測並行、傳輸成本差異）進行設計，且解析邏輯正確完整。,"### 題目

關於分散式系統中的邏輯時鐘（Lamport Clock）與向量時鐘（Vector Clock），下列敘述何者**正確**？

**(A)** 在 Lamport Clock 中，若事件 $A$ 的時間戳記小於事件 $B$（即 $L(A) < L(B)$），則可推斷事件 $A$ 在因果關係上一定發生於事件 $B$ 之前（Happens-before）。
**(B)** 向量時鐘（Vector Clock）雖能解決因果關係的判斷問題，但其訊息空間複雜度（Space Complexity）與系統節點數量成正比，在大規模系統中會造成擴展性瓶頸。
**(C)** Lamport Clock 除了能決定順序外，也能透過比較時間戳記數值的大小，精確區分出兩個事件究竟是屬於「因果關係」還是「並行關係」。
**(D)** 若系統需要達成全序（Total Ordering），向量時鐘因能完整捕捉因果資訊，故在實作互斥鎖（Mutex）等應用時，會比使用 Lamport Clock 更具傳輸效率。

---

### 正確答案：(B)

---

### 解析

*   **(A) 錯誤**
    這是 Lamport Clock 的單向特性。正確的邏輯是：若 $A \to B$（$A$ 先於 $B$ 發生），則 $L(A) < L(B)$；但**反之不成立**。若 $L(A) < L(B)$，兩者可能是因果關係，也可能是並行（Concurrent）關係。

*   **(B) 正確**
    Vector Clock 要求每個節點維護一個長度為 $N$（節點總數）的向量，且每次訊息傳遞都需夾帶此向量。因此其通訊與儲存開銷為 $O(N)$，當節點數量龐大時，會成為顯著的缺點。

*   **(C) 錯誤**
    Lamport Clock 將時間壓縮為單一整數（Scalar），導致資訊遺失，因此**無法偵測並行事件**。若 $L(A) < L(B)$，我們無法確定它們是否有因果關聯。唯有 Vector Clock 透過比較向量元素（例如：$V(A)$ 與 $V(B)$ 互不小於對方），才能明確判定並行關係。

*   **(D) 錯誤**
    雖然向量時鐘資訊更豐富，但在僅需要**全序（Total Ordering）**的場景（如決定請求優先權）中，使用 **Lamport Clock 加上 Process ID**（如 `<Timestamp, Process_ID>`）進行 Tie-breaking 已經足夠且正確。相比之下，傳輸整個向量（$O(N)$）比傳輸單一整數（$O(1)$）的成本高出許多，因此在效率上 Lamport Clock 反而更優。"
軟體工程 - 微服務(Microservices),True,題目情境設定清晰，準確考查微服務架構的核心原則（尤其是資料庫解耦）。選項設計涵蓋了微服務的主要特徵（技術多樣性、獨立部署、分散式治理），干擾項具備鑑別度。正確答案 (C) 明顯違反「一個服務一個資料庫 (Database per Service)」的解耦原則，解析邏輯嚴謹且符合軟體架構的最佳實踐。,"### 題目：微服務架構設計原則

某大型電商公司正在將其核心系統從單體式架構 (Monolithic) 轉型為微服務架構 (Microservices)。在架構設計會議中，團隊提出了各項設計決策。下列哪項決策**最不符合**微服務架構的核心設計原則？

*   **(A) 技術多樣性 (Polyglot)：**
    考量到業務特性不同，團隊決定使用 Java 開發交易頻繁的「訂單服務」，而需要大量數據運算的「推薦服務」則選用 Python，不再強制全公司使用單一程式語言。
*   **(B) 獨立部署 (Independent Deployment)：**
    為了提升敏捷度，架構設計確保當「會員服務」修補漏洞時，可以單獨進行測試與上線，無須協調其他團隊同時重新部署整個系統。
*   **(C) 資料庫設計 (Database Design)：**
    為了避免處理跨服務「分散式交易 (Distributed Transactions)」的技術複雜度，並確保資料高度一致，架構師決定讓所有微服務繼續共用同一個大型關聯式資料庫。
*   **(D) 分散式治理 (Decentralized Governance)：**
    公司不再設立中央集權的架構委員會來強制規定所有細節，而是允許各服務團隊在遵守基本契約的前提下，自行決定適合該服務的內部工具與開發標準。

---

**答案：(C)**

**解析：**

*   **(C) 為本題答案（最不符合原則）。**
    雖然共用資料庫可以避免分散式交易的複雜性，但在微服務架構的最佳實踐中，強烈建議採用 **「一個服務一個資料庫」(Database per Service)** 模式。若多個微服務共用同一個資料庫，會導致服務之間產生高度的 **資料耦合 (Data Coupling)**；一旦資料庫結構變更，所有相關服務都需配合修改，且難以獨立擴展，這違反了微服務追求「鬆散耦合 (Loose Coupling)」與「獨立性」的核心精神。跨服務的資料一致性問題通常應透過最終一致性 (Eventual Consistency) 或 Saga 模式來解決，而非回頭共用資料庫。

*   **(A) 符合原則。**
    這符合微服務的 **技術多樣性 (Polyglot Programming/Persistence)** 特性，允許針對特定問題選擇最合適的工具。

*   **(B) 符合原則。**
    **獨立部署** 是微服務與單體架構最大的區別之一，能顯著提升軟體交付的速度與穩定性。

*   **(D) 符合原則。**
    這符合 **分散式治理** 的精神。微服務傾向於「雖然有標準，但不強求統一」，將技術決策權下放給最了解該業務的開發團隊。"
